#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;Shadowless Edge;2535418358478334;650757;665757;15000;50;818;868
2;Zonky;Zonky;2535470751963594;100200;104050;3850;48;756;804
3;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;661210;664515;3305;46;662;708
4;Plagueborne;The Wicked Soul;2533274925208344;904252;907357;3105;44;794;838
5;Chyld989;Chyld989;2533274824150207;399610;401670;2060;42;514;556
6;SheepDip;Ryuukishi634;2533274841110750;394810;396160;1350;40;515;555
7;Mort;Mortaigne;2533274924850886;161572;162877;1305;38;331;369
8;low187;ShadowArceus5;2533274870566975;241493;242783;1290;36;228;264
9;Akosii;Akosii;2533274876129944;355030;356045;1015;34;408;442
9;Scottish_Sin;Scottish Sin;2533274798575633;553680;554695;1015;34;369;403
11;dfunktjester;dFunkt jestEr;2533274829581469;116067;117017;950;30;189;219
12;BeardoN7x;BeardoA7x;2533274924115209;107165;107940;775;28;271;299
13;CRZYSPZ;CRZYSPZ;2533274896685914;416645;417415;770;26;160;186
14;Kreten;Cro Kreten;2690766741657668;261708;262343;635;24;6;30
15;DeusJabu;DeusJabu;2535431624153776;167989;168564;575;22;164;186
16;profjjj;profjjj;2533274829351135;127867;128422;555;20;750;770
17;Bugalugs214;bugalugs214;2535471084374195;136371;136856;485;18;275;293
18;Knottian;Knottian;2533274805216213;221211;221671;460;16;301;317
19;Cyime;Cyime;2533274809898296;211995;212435;440;14;99;113
20;TheSego;The Sego;2533274801846949;152059;152489;430;12;10;22
21;n0tjack;n0tjack;2533274808155558;185483;185908;425;10;425;435
22;UnveiledArk;UnveiledArk;2533274934249959;371035;371435;400;8;430;438
23;MasterLeePhD;Master Lee PhD;2533274793230093;346159;346534;375;6;630;636
24;APOPHIS1989;APOPHIS1989;2533274792861176;324084;324454;370;4;424;428
25;CallMeCraig;matsze;2533274817036922;239031;239396;365;2;564;566
26;FairyEmpire;baboy1337;2533274848211122;424490;424815;325;1;419;420
27;supercommodore;supercommodore;2533274982646378;25377;25682;305;1;79;80
27;xJavontax;xJavontax;2533274819674251;48836;49141;305;1;97;98
29;judge;judge;2533274802991000;416950;417250;300;1;394;395
30;dscharles;dscharles;2533275014769270;67006;67291;285;1;126;127
31;PhantomFox;PhantomFox75-460;2535436728258152;65502;65762;260;1;151;152
32;OneBadMutha;OneBadMutha;2728296738546254;56843;57078;235;1;251;252
33;Sikamikanico;Sikamikanico;2599622463478870;133308;133518;210;1;133;134
34;FunkyOne;Sir Funkified;2533274831236982;244305;244505;200;1;174;175
35;brunopcosta1;brunopcosta1;2535437287890796;267652;267847;195;1;513;514
36;Xumbrega;ctZz1;2533274892320729;156205;156390;185;1;55;56
37;BrigadiersBlue;Brigadiers Blue;2533274916311937;70778;70948;170;1;101;102
38;Running_Riot;BoutTreeFidy-208;2535457582061110;45865;46025;160;1;192;193
39;BananaBox39;MaidenLOKO;2533274891998560;190670;190790;120;1;95;96
40;Shadowgasm;Shadowgasm;2736338880739054;337030;337145;115;1;221;222
41;BadMoodJones;Junglee91;2533275020457265;123621;123711;90;1;404;405
42;MMarfil;MMarfil;2533274884719422;105114;105194;80;1;52;53
43;Foorbits;Foorbits;2624419068575218;50398;50463;65;1;49;50
44;Bluehawk357;BlueHawk357;2533274876723326;113343;113398;55;1;18;19
44;michael;Rngesus37;2535419776788793;40242;40297;55;1;21;22
46;TheSlickTony;TheSlickTony;2533275010815429;110548;110573;25;1;19;20
47;MrZweistein;MrZweistein;2533274796780325;133450;133450;0;0;51;51
