#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;Shadowless Edge;2535418358478334;749031;827101;78070;50;1000;1050
2;Zonky;Zonky;2535470751963594;134025;147720;13695;48;569;617
3;UnveiledArk;UnveiledArk;2533274934249959;403125;414240;11115;46;437;483
4;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;716460;727245;10785;44;854;898
5;Bugalugs214;bugalugs214;2535471084374195;142496;150080;7584;42;243;285
6;Plagueborne;The Wicked Soul;2533274925208344;937287;943792;6505;40;567;607
7;judge;judge;2533274802991000;429865;435915;6050;38;377;415
8;Chyld989;Chyld989;2533274824150207;440620;446210;5590;36;813;849
9;SheepDip;Ryuukishi634;2533274841110750;420195;425270;5075;34;552;586
10;Cyime;Cyime;2533274809898296;229130;234070;4940;32;448;480
11;MasterLeePhD;Master Lee PhD;2533274793230093;364159;368944;4785;30;471;501
12;BeardoN7x;BeardoA7x;2533274924115209;115225;119855;4630;28;236;264
13;Scottish_Sin;Scottish Sin;2533274798575633;565190;568755;3565;26;270;296
14;NierlyCrazy;Nierly Crazy;2533274896685914;440910;444260;3350;24;461;485
15;FairyEmpire;baboy1337;2533274848211122;441687;445027;3340;22;443;465
16;APOPHIS1989;APOPHIS1989;2533274792861176;358416;361601;3185;20;749;769
17;CallMeCraig;matsze;2533274817036922;255946;258791;2845;18;528;546
18;profjjj;profjjj;2533274829351135;142127;144957;2830;16;361;377
19;Mort;Mortaigne;2533274924850886;180362;183112;2750;14;325;339
20;DeusJabu;DeusJabu;2535431624153776;180450;182645;2195;12;355;367
21;low187;ShadowArceus5;2533274870566975;255458;257418;1960;10;152;162
22;binarymelon;binarymelon;2533274792088847;22250;23940;1690;8;330;338
23;RoslindaleOne;RoslindaleOne;2594261035379451;383535;384775;1240;6;57;63
24;brunopcosta1;brunopcosta1;2535437287890796;286868;288103;1235;4;539;543
25;Mark3;Mark 3;2533274791777168;182100;183265;1165;2;198;200
26;Akosii;Akosii;2533274876129944;369955;371060;1105;1;285;286
27;Knottian;Knottian;2533274805216213;230039;231109;1070;1;278;279
28;dscharles;dscharles;2533275014769270;74985;76035;1050;1;184;185
29;Sikamikanico;Sikamikanico;2599622463478870;139793;140698;905;1;110;111
29;FunkyOne;Sir Funkified;2533274831236982;250185;251090;905;1;204;205
31;supercommodore;supercommodore;2533274982646378;32887;33787;900;1;225;226
32;MrZweistein;MrZweistein;2533274796780325;141860;142705;845;1;160;161
33;Running_Riot;BoutTreeFidy;2535457582061110;51765;52420;655;1;209;210
34;BananaBox39;MaidenLOKO;2533274891998560;194530;195030;500;1;81;82
35;PhantomFox;PhantomFox75;2535436728258152;71132;71622;490;1;127;128
36;dfunktjester;dFunkt jestEr;2533274829581469;121823;122243;420;1;43;44
37;BrigadiersBlue;Brigadiers Blue;2533274916311937;90573;90963;390;1;545;546
38;Shadowgasm;Shadowgasm;2736338880739054;365274;365604;330;1;304;305
39;MMarfil;MMarfil;2533274884719422;106189;106429;240;1;11;12
40;n0tjack;n0tjack;2533274808155558;196613;196848;235;1;181;182
41;michael;Rngesus37;2535419776788793;42942;43152;210;1;56;57
42;OneBadMutha;OneBadMutha;2728296738546254;60427;60592;165;1;87;88
43;BigM_Milk4;BigMMilk-9208;2533274975549845;45242;45397;155;1;89;90
43;xJavontax;xJavontax;2533274819674251;50861;51016;155;1;16;17
45;Xumbrega;ctZz1;2533274892320729;160025;160160;135;1;97;98
46;TheSlickTony;TheSlickTony;2533275010815429;114383;114503;120;1;61;62
47;Kreten;Cro Kreten;2690766741657668;269173;269248;75;1;163;164
48;BadMoodJones;Junglee91;2533275020457265;131880;131935;55;1;130;131
49;TheSego;The Sego;2533274801846949;155189;155224;35;1;49;50
50;Bluehawk357;BlueHawk357;2533274876723326;115849;115849;0;0;49;49
50;Darthvader2795;Darthvader2795;2535442004967288;76621;76621;0;0;2;2
50;Foorbits;Foorbits;2624419068575218;51153;51153;0;0;2;2
