#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Bugalugs214;bugalugs214;2535471084374195;468134;475055;6921;50;150;200
2;Chyld989;Chyld989;2533274824150207;501135;503070;1935;48;45;93
3;Plagueborne;The Wicked Soul;2533274925208344;1016967;1018717;1750;46;35;81
4;MasterLeePhD;Master Lee PhD;2533274793230093;414349;415949;1600;44;118;162
5;FairyEmpire;baboy1337;2533274848211122;480092;481192;1100;42;42;84
6;BeardoN7x;BeardoA7x;2533274924115209;135785;136785;1000;40;19;59
7;RoslindaleOne;RoslindaleOne;2594261035379451;398810;399750;940;38;94;132
8;ShadowlessEdge;Shadowless Edge;2535418358478334;908344;909226;882;36;142;178
9;Mort;Mortaigne;2533274924850886;213477;214302;825;34;63;97
10;Sikamikanico;Sikamikanico;2599622463478870;148143;148883;740;32;1;33
11;UnveiledArk;UnveiledArk;2533274934249959;477570;478280;710;30;41;71
12;TangHao;Amir-8983;2535432952508207;76285;76935;650;28;16;44
13;CallMeCraig;matsze;2533274817036922;294995;295590;595;26;69;95
14;APOPHIS1989;APOPHIS1989;2533274792861176;409108;409678;570;24;104;128
15;NierlyCrazy;Nierly Crazy;2533274896685914;499185;499715;530;22;108;130
16;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;800955;801475;520;20;134;154
17;n0tjack;n0tjack;2533274808155558;223980;224445;465;18;110;128
18;SheepDip;Ryuukishi634;2533274841110750;456725;457115;390;16;68;84
19;Kreten;Cro Kreten;2690766741657668;277348;277708;360;14;1;15
20;MrZweistein;MrZweistein;2533274796780325;152330;152680;350;12;6;18
21;low187;ShadowArceus5;2533274870566975;281685;281995;310;10;3;13
22;Scottish_Sin;Scottish Sin;2533274798575633;600015;600305;290;8;62;70
22;Knottian;Knottian;2533274805216213;240081;240371;290;8;27;35
24;Mark3;Mark 3;2533274791777168;189895;190180;285;4;29;33
25;BigM_Milk4;BigMMilk-9208;2533274975549845;48849;49124;275;2;12;14
26;judge;judge;2533274802991000;473119;473370;251;1;112;113
27;dfunktjester;dFunkt jestEr;2533274829581469;127843;128068;225;1;22;23
27;DeusJabu;DeusJabu;2535431624153776;198385;198610;225;1;57;58
29;BrigadiersBlue;Brigadiers Blue;2533274916311937;109895;110055;160;1;46;47
30;FunkyOne;Sir Funkified;2533274831236982;261732;261887;155;1;13;14
31;Cyime;Cyime;2533274809898296;249930;250080;150;1;45;46
32;binarymelon;binarymelon;2533274792088847;33191;33326;135;1;8;9
33;Running_Riot;BoutTreeFidy-208;2535457582061110;55165;55295;130;1;5;6
34;TheSego;The Sego;2533274801846949;161514;161634;120;1;12;13
35;michael;Rngesus37;2535419776788793;44755;44860;105;1;6;7
35;Akosii;Akosii;2533274876129944;410135;410240;105;1;57;58
35;xJavontax;xJavontax;2533274819674251;51856;51961;105;1;0;1
38;BananaBox39;MaidenLOKO;2533274891998560;205100;205175;75;1;3;4
38;MMarfil;MMarfil;2533274884719422;108004;108079;75;1;0;1
40;Shadowgasm;Shadowgasm;2736338880739054;420560;420625;65;1;47;48
41;Xumbrega;ctZz1;2533274892320729;162185;162245;60;1;24;25
42;profjjj;profjjj;2533274829351135;156906;156956;50;1;2;3
43;OneBadMutha;OneBadMutha;2728296738546254;66477;66517;40;1;3;4
44;supercommodore;supercommodore;2533274982646378;37217;37237;20;1;3;4
44;PhantomFox;PhantomFox75-460;2535436728258152;79322;79342;20;1;2;3
46;Neuro;Thhh gtt-8082;2535406877444637;975;975;0;0;6;6
46;brunopcosta1;brunopcosta1;2535437287890796;288573;288573;0;0;1;1
46;BadMoodJones;Junglee91;2533275020457265;147733;147733;0;0;29;29
46;dscharles;dscharles;2533275014769270;81844;81844;0;0;5;5
46;TheSlickTony;TheSlickTony;2533275010815429;122463;122463;0;0;2;2
46;DanCasual;SR1 Dan;2533274803840524;220019;220019;0;0;2;2
46;Bluehawk357;BlueHawk357;2533274876723326;129893;129893;0;0;0;0
46;Zonky;Zonky;2535470751963594;165180;165180;0;0;0;0
46;Foorbits;Foorbits;2624419068575218;51218;51218;0;0;0;0
46;Darthvader2795;Darthvader2795;2535442004967288;76871;76871;0;0;0;0
