#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Bugalugs214;bugalugs214;2535471084374195;497794;501145;3351;50;442;492
2;Plagueborne;The Wicked Soul;2533274925208344;1024727;1026822;2095;48;239;287
3;MasterLeePhD;Master Lee PhD;2533274793230093;417470;418515;1045;46;292;338
4;RoslindaleOne;RoslindaleOne;2594261035379451;402510;403370;860;44;276;320
5;ShadowlessEdge;Shadowless Edge;2535418358478334;914511;915366;855;42;342;384
6;SheepDip;Ryuukishi634;2533274841110750;457735;458465;730;40;173;213
7;FairyEmpire;baboy1337;2533274848211122;483157;483882;725;38;192;230
8;Darthvader2795;Darthvader2795;2535442004967288;77591;78286;695;36;31;67
9;n0tjack;n0tjack;2533274808155558;226325;226975;650;34;302;336
10;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;806325;806920;595;32;330;362
11;NierlyCrazy;Nierly Crazy;2533274896685914;500110;500545;435;30;224;254
12;CallMeCraig;matsze;2533274817036922;296737;297112;375;28;227;255
13;low187;ShadowArceus5;2533274870566975;286390;286740;350;26;105;131
14;Cyime;Cyime;2533274809898296;251920;252220;300;24;125;149
15;DeusJabu;DeusJabu;2535431624153776;200140;200425;285;22;184;206
15;Akosii;Akosii;2533274876129944;410460;410745;285;22;73;95
17;BadMoodJones;Junglee91;2533275020457265;148008;148263;255;18;33;51
18;BananaBox39;MaidenLOKO;2533274891998560;205325;205565;240;16;8;24
19;UnveiledArk;UnveiledArk;2533274934249959;479285;479490;205;14;128;142
20;BeardoN7x;BeardoA7x;2533274924115209;138195;138345;150;12;120;132
21;FunkyOne;Sir Funkified;2533274831236982;262857;262997;140;10;64;74
21;MrZweistein;MrZweistein;2533274796780325;152730;152870;140;10;20;30
23;Scottish_Sin;Scottish Sin;2533274798575633;601820;601955;135;6;152;158
23;judge;judge;2533274802991000;476989;477124;135;6;265;271
23;PhantomFox;PhantomFox75-460;2535436728258152;79437;79572;135;6;6;12
26;Sikamikanico;Sikamikanico;2599622463478870;149073;149193;120;1;38;39
27;TangHao;Amir-8983;2535432952508207;79050;79165;115;1;194;195
28;Mort;Mortaigne;2533274924850886;215492;215592;100;1;185;186
29;supercommodore;supercommodore;2533274982646378;37802;37897;95;1;25;26
30;Knottian;Knottian;2533274805216213;240906;240996;90;1;61;62
30;dscharles;dscharles;2533275014769270;82084;82174;90;1;10;11
32;APOPHIS1989;APOPHIS1989;2533274792861176;410783;410868;85;1;220;221
33;Chyld989;Chyld989;2533274824150207;503755;503830;75;1;139;140
34;Xumbrega;ctZz1;2533274892320729;162570;162630;60;1;29;30
35;binarymelon;binarymelon;2533274792088847;33531;33586;55;1;13;14
36;BrigadiersBlue;Brigadiers Blue;2533274916311937;110600;110630;30;1;68;69
36;Running_Riot;BoutTreeFidy-208;2535457582061110;55735;55765;30;1;19;20
38;michael;Rngesus37;2535419776788793;45410;45425;15;1;30;31
38;xJavontax;xJavontax;2533274819674251;52161;52176;15;1;3;4
40;Mark3;Mark 3;2533274791777168;190395;190405;10;1;37;38
41;TheSlickTony;TheSlickTony;2533275010815429;122958;122958;0;0;25;25
41;OneBadMutha;OneBadMutha;2728296738546254;67207;67207;0;0;32;32
41;Kreten;Cro Kreten;2690766741657668;277958;277958;0;0;22;22
41;profjjj;profjjj;2533274829351135;157281;157281;0;0;7;7
41;TheSego;The Sego;2533274801846949;161964;161964;0;0;24;24
41;dfunktjester;dFunkt jestEr;2533274829581469;128218;128218;0;0;27;27
41;BigM_Milk4;BigMMilk-9208;2533274975549845;49584;49584;0;0;32;32
41;MMarfil;MMarfil;2533274884719422;108354;108354;0;0;4;4
41;Shadowgasm;Shadowgasm;2736338880739054;420625;420625;0;0;76;76
41;Neuro;Thhh gtt-8082;2535406877444637;975;975;0;0;7;7
41;brunopcosta1;brunopcosta1;2535437287890796;288573;288573;0;0;2;2
41;DanCasual;SR1 Dan;2533274803840524;220019;220019;0;0;3;3
41;Bluehawk357;BlueHawk357;2533274876723326;129893;129893;0;0;0;0
41;Zonky;Zonky;2535470751963594;165180;165180;0;0;0;0
41;Foorbits;Foorbits;2624419068575218;51218;51218;0;0;0;0
