#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;APOPHIS1989;APOPHIS1989;2533274792861176;479913;484703;4790;50;644;694
2;ShadowlessEdge;Shadowless Edge;2535418358478334;1010806;1013806;3000;48;586;634
3;TheAshCohen09;TheAshCohen09;2533274856167909;213396;215646;2250;46;341;387
4;Plagueborne;The Wicked Soul;2533274925208344;1296576;1298416;1840;44;492;536
5;SheepDip;Ryuukishi634;2533274841110750;496110;497180;1070;42;287;329
6;judge;judge;2533274802991000;530994;532029;1035;40;145;185
6;Akosii;Akosii;2533274876129944;430526;431561;1035;40;109;149
8;NierlyCrazy;Nierly Crazy;2533274896685914;542039;543049;1010;36;379;415
9;KARMAgoesHARD;KARMAgoesHARD;2533274793280369;906499;907229;730;34;486;520
10;MrZweistein;MrZweistein;2533274796780325;167385;168000;615;32;236;268
11;SilentJay76;SilentJay76;2533274902322618;476572;477182;610;30;430;460
12;RoslindaleOne;RoslindaleOne;2594261035379451;424066;424650;584;28;190;218
13;CallMeCraig;matsze;2533274817036922;342368;342948;580;26;329;355
14;BeardoN7x;BeardoA7x;2533274924115209;145154;145694;540;24;163;187
15;Shadowgasm;Shadowgasm;2736338880739054;433940;434420;480;22;194;216
16;Scottish_Sin;Scottish Sin;2533274798575633;627825;628240;415;20;221;241
17;Mort;Mortaigne;2533274924850886;234938;235308;370;18;10;28
18;binarymelon;binarymelon;2533274792088847;48146;48496;350;16;73;89
19;MasterLeePhD;Master Lee PhD;2533274793230093;492894;493239;345;14;539;553
20;UnveiledArk;UnveiledArk;2533274934249959;534700;534970;270;12;494;506
21;DeusJabu;DeusJabu;2535431624153776;228355;228585;230;10;226;236
22;n0tjack;n0tjack;2533274808155558;249458;249678;220;8;191;199
23;FunkyOne;Sir Funkified;2533274831236982;274304;274499;195;6;167;173
24;DanCasual;SR1 Dan;2533274803840524;226660;226843;183;4;205;209
25;profjjj;profjjj;2533274829351135;164560;164740;180;2;87;89
26;Running_Riot;BoutTreeFidy-208;2535457582061110;60165;60340;175;1;75;76
27;Chyld989;Chyld989;2533274824150207;544145;544315;170;1;454;455
28;low187;ShadowArceus5;2533274870566975;297458;297603;145;1;32;33
29;FairyEmpire;baboy1337;2533274848211122;568521;568651;130;1;331;332
30;BadMoodJones;Junglee91;2533275020457265;166562;166667;105;1;262;263
30;TheSego;The Sego;2533274801846949;168800;168905;105;1;124;125
32;dscharles;dscharles;2533275014769270;91136;91221;85;1;118;119
33;Knottian;Knottian;2533274805216213;257405;257485;80;1;246;247
34;Sikamikanico;Sikamikanico;2599622463478870;156995;157052;57;1;159;160
35;supercommodore;supercommodore;2533274982646378;41697;41727;30;1;44;45
36;Kreten;Cro Kreten;2690766741657668;282703;282713;10;1;116;117
37;OneBadMutha;OneBadMutha;2728296738546254;73596;73596;0;0;64;64
37;PhantomFox;PhantomFox75-460;2535436728258152;84054;84054;0;0;20;20
37;TheSlickTony;TheSlickTony;2533275010815429;131258;131258;0;0;76;76
37;Xumbrega;ctZz1;2533274892320729;164789;164789;0;0;55;55
37;BananaBox39;MaidenLOKO;2533274891998560;213508;213508;0;0;41;41
37;BrigadiersBlue;Brigadiers Blue;2533274916311937;160090;160090;0;0;169;169
37;MMarfil;MMarfil;2533274884719422;111491;111491;0;0;11;11
37;TangHao;Amir-8983;2535432952508207;88682;88682;0;0;65;65
37;Mark3;Mark 3;2533274791777168;192950;192950;0;0;12;12
37;Zonky;Zonky;2535470751963594;166305;166305;0;0;2;2
37;michael;Rngesus37;2535419776788793;50287;50287;0;0;28;28
37;xJavontax;xJavontax;2533274819674251;52463;52463;0;0;2;2
37;dfunktjester;dFunkt jestEr;2533274829581469;142533;142533;0;0;2;2
37;Bugalugs214;bugalugs214;2535471084374195;599930;599930;0;0;0;0
37;Foorbits;Foorbits;2624419068575218;52068;52068;0;0;0;0
37;BigM_Milk4;BigMMilk-9208;2533274975549845;68309;68309;0;0;0;0
37;brunopcosta1;brunopcosta1;2535437287890796;289198;289198;0;0;0;0
37;Cyime;Cyime;2533274809898296;257380;257380;0;0;0;0
