#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;FairyEmpire;baboy1337;2533274848211122;606235;612295;6060;50;254;304
2;ShadowlessEdge;ShadowlessAU;2535418358478334;1071269;1074254;2985;48;288;336
3;Plagueborne;The Wicked Soul;2533274925208344;1498681;1501061;2380;46;160;206
4;MasterLeePhD;Master Lee PhD;2533274793230093;528723;530808;2085;44;302;346
5;APOPHIS1989;APOPHIS1989;2533274792861176;646316;648281;1965;42;246;288
6;Akosii;Akosii;2533274876129944;460011;461336;1325;40;218;258
7;RoslindaleOne;RoslindaleOne;2594261035379451;440260;441515;1255;38;152;190
8;SheepDip;Ryuukishi634;2533274841110750;528095;528930;835;36;280;316
9;CallMeCraig;matsze;2533274817036922;378208;379008;800;34;150;184
10;TheSlickTony;TheSlickTony;2533275010815429;138318;139013;695;32;162;194
11;MrZweistein;MrZweistein;2533274796780325;176135;176470;335;30;71;101
12;Knottian;Knottian;2533274805216213;276575;276900;325;28;192;220
13;SilentJay76;SilentJay76;2533274902322618;505247;505397;150;26;108;134
14;dfunktjester;dFunkt jestEr;2533274829581469;145092;145232;140;24;40;64
15;Chyld989;Chyld989;2533274824150207;580765;580895;130;22;298;320
15;binarymelon;binarymelon;2533274792088847;62206;62336;130;22;188;210
15;DeusJabu;DeusJabu;2535431624153776;242745;242875;130;22;192;214
18;Scottish_Sin;Scottish Sin;2533274798575633;646444;646544;100;16;109;125
19;Bugalugs214;bugalugs214;2535471084374195;604670;604760;90;14;93;107
19;dscharles;dscharles;2533275014769270;97930;98020;90;14;25;39
21;profjjj;profjjj;2533274829351135;171900;171975;75;10;154;164
22;Mort;Mortaigne;2533274924850886;260518;260553;35;8;11;19
23;MMarfil;MMarfil;2533274884719422;114443;114458;15;6;36;42
24;PhantomFox;PhantomFox75-460;2535436728258152;89239;89239;0;0;122;122
24;OneBadMutha;OneBadMutha;2728296738546254;78099;78099;0;0;72;72
24;low187;ShadowArceus5;2533274870566975;307026;307026;0;0;76;76
24;Sikamikanico;Sikamikanico;2599622463478870;164386;164386;0;0;47;47
24;TheAshCohen09;TheAshCohen09;2533274856167909;284371;284371;0;0;198;198
24;n0tjack;n0tjack;2533274808155558;266249;266249;0;0;31;31
24;BananaBox39;MaidenLOKO;2533274891998560;213783;213783;0;0;12;12
24;TangHao;Amir-8983;2535432952508207;89522;89522;0;0;3;3
24;BrigadiersBlue;Brigadiers Blue;2533274916311937;189400;189400;0;0;139;139
24;BeardoN7x;BeardoA7x;2533274924115209;149569;149569;0;0;0;0
24;BigM_Milk4;BigMMilk-9208;2533274975549845;72639;72639;0;0;3;3
24;BadMoodJones;Junglee91;2533275020457265;172366;172366;0;0;5;5
24;Mark3;Mark 3;2533274791777168;196585;196585;0;0;30;30
24;NierlyCrazy;Nierly Crazy;2533274896685914;602930;602930;0;0;50;50
24;Shadowgasm;Shadowgasm;2736338880739054;439560;439560;0;0;0;0
24;supercommodore;supercommodore;2533274982646378;42225;42225;0;0;0;0
24;TheSego;The Sego;2533274801846949;169910;169910;0;0;0;0
