#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;ShadowlessEdge;ShadowlessAU;2535418358478334;1110641;1111821;1180;50;1344;1394
1;APOPHIS1989;APOPHIS1989;2533274792861176;664713;665893;1180;50;1041;1091
3;Shadowgasm;Shadowgasm;2736338880739054;440850;441780;930;46;81;127
4;SheepDip;Ryuukishi634;2533274841110750;540045;540845;800;44;1100;1144
5;TangHao;Amir-8983;2535432952508207;96960;97502;542;42;392;434
6;SilentJay76;SilentJay76;2533274902322618;511837;512357;520;40;591;631
7;CallMeCraig;matsze;2533274817036922;387513;388023;510;38;784;822
8;TheSlickTony;TheSlickTony;2533275010815429;142833;143278;445;36;532;568
9;BrigadiersBlue;Brigadiers Blue;2533274916311937;194620;195060;440;34;235;269
10;low187;ShadowArceus5;2533274870566975;310451;310806;355;32;418;450
11;MrZweistein;MrZweistein;2533274796780325;179750;179965;215;30;431;461
12;TheAshCohen09;TheAshCohen09;2533274856167909;299846;300051;205;28;609;637
13;n0tjack;n0tjack;2533274808155558;273529;273714;185;26;711;737
14;Akosii;Akosii;2533274876129944;470851;471001;150;24;892;916
14;BeardoN7x;BeardoA7x;2533274924115209;158974;159124;150;24;408;432
16;Scottish_Sin;Scottish Sin;2533274798575633;654154;654294;140;20;704;724
17;PhantomFox;PhantomFox75-460;2535436728258152;90674;90804;130;18;228;246
18;Chyld989;Chyld989;2533274824150207;587690;587810;120;16;858;874
19;DeusJabu;DeusJabu;2535431624153776;247195;247305;110;14;737;751
19;MasterLeePhD;Master Lee PhD;2533274793230093;542074;542184;110;14;1118;1132
21;Mort;Mortaigne;2533274924850886;263783;263873;90;10;242;252
22;binarymelon;binarymelon;2533274792088847;65591;65671;80;8;539;547
23;Plagueborne;The Wicked Soul;2533274925208344;1524976;1525041;65;6;1098;1104
24;Knottian;Knottian;2533274805216213;281100;281150;50;4;664;668
25;FairyEmpire;baboy1337;2533274848211122;634157;634197;40;2;999;1001
26;RoslindaleOne;RoslindaleOne;2594261035379451;443440;443465;25;1;411;412
27;NierlyCrazy;Nierly Crazy;2533274896685914;620448;620468;20;1;682;683
28;Mark3;Mark 3;2533274791777168;198560;198560;0;0;284;284
28;profjjj;profjjj;2533274829351135;173830;173830;0;0;387;387
28;MMarfil;MMarfil;2533274884719422;115728;115728;0;0;222;222
28;BadMoodJones;Junglee91;2533275020457265;172996;172996;0;0;27;27
28;dscharles;dscharles;2533275014769270;101845;101845;0;0;403;403
28;Bugalugs214;bugalugs214;2535471084374195;607390;607390;0;0;398;398
28;OneBadMutha;OneBadMutha;2728296738546254;79689;79689;0;0;315;315
28;TheSego;The Sego;2533274801846949;171410;171410;0;0;155;155
28;dfunktjester;dFunkt jestEr;2533274829581469;145757;145757;0;0;117;117
28;Sikamikanico;Sikamikanico;2599622463478870;166441;166441;0;0;359;359
28;supercommodore;supercommodore;2533274982646378;42390;42390;0;0;19;19
28;BigM_Milk4;BigMMilk-9208;2533274975549845;74119;74119;0;0;95;95
28;BananaBox39;MaidenLOKO;2533274891998560;213783;213783;0;0;12;12
