#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;TheAshCohen09;TheAshCohen09;2533274856167909;306956;310201;3245;50;174;224
2;FairyEmpire;baboy1337;2533274848211122;642112;644944;2832;48;188;236
3;Mort;Mortaigne;2533274924850886;265243;267243;2000;46;134;180
4;CallMeCraig;matsze;2533274817036922;396988;397753;765;44;314;358
5;Akosii;Akosii;2533274876129944;475151;475886;735;42;214;256
6;low187;ShadowArceus5;2533274870566975;313381;313921;540;40;80;120
7;Scottish_Sin;Scottish Sin;2533274798575633;659434;659774;340;38;110;148
7;Plagueborne;The Wicked Soul;2533274925208344;1533681;1534021;340;38;230;268
9;NierlyCrazy;Nierly Crazy;2533274896685914;631998;632298;300;34;258;292
10;SilentJay76;SilentJay76;2533274902322618;516427;516692;265;32;192;224
11;BadMoodJones;Junglee91;2533275020457265;173486;173746;260;30;37;67
12;SheepDip;Ryuukishi634;2533274841110750;542310;542555;245;28;164;192
13;MrZweistein;MrZweistein;2533274796780325;182055;182290;235;26;146;172
14;n0tjack;n0tjack;2533274808155558;278594;278814;220;24;244;268
15;Knottian;Knottian;2533274805216213;282795;282998;203;22;118;140
16;BeardoN7x;BeardoA7x;2533274924115209;159269;159444;175;20;18;38
17;RoslindaleOne;RoslindaleOne;2594261035379451;444245;444350;105;18;67;85
18;MasterLeePhD;Master Lee PhD;2533274793230093;547489;547569;80;16;162;178
19;TheSlickTony;TheSlickTony;2533275010815429;143798;143873;75;14;70;84
20;dfunktjester;dFunkt jestEr;2533274829581469;146732;146787;55;12;59;71
21;Sikamikanico;Sikamikanico;2599622463478870;170028;170063;35;10;200;210
22;ShadowlessEdge;ShadowlessAU;2535418358478334;1120461;1120486;25;8;248;256
23;MMarfil;MMarfil;2533274884719422;116028;116048;20;6;31;37
23;TheSego;The Sego;2533274801846949;171925;171945;20;6;0;6
25;OneBadMutha;OneBadMutha;2728296738546254;79869;79879;10;2;25;27
25;binarymelon;binarymelon;2533274792088847;66331;66341;10;2;64;66
25;dscharles;dscharles;2533275014769270;104630;104640;10;2;194;196
28;Chyld989;Chyld989;2533274824150207;593355;593355;0;0;128;128
28;TangHao;Amir-8983;2535432952508207;97597;97597;0;0;8;8
28;profjjj;profjjj;2533274829351135;174325;174325;0;0;56;56
28;DeusJabu;DeusJabu;2535431624153776;247605;247605;0;0;17;17
28;Bugalugs214;bugalugs214;2535471084374195;607455;607455;0;0;51;51
28;APOPHIS1989;APOPHIS1989;2533274792861176;676193;676193;0;0;167;167
28;BigM_Milk4;BigMMilk-9208;2533274975549845;74194;74194;0;0;15;15
28;PhantomFox;PhantomFox75-460;2535436728258152;92909;92909;0;0;60;60
28;Mark3;Mark 3;2533274791777168;198580;198580;0;0;2;2
28;Shadowgasm;Shadowgasm;2736338880739054;443400;443400;0;0;0;0
28;supercommodore;supercommodore;2533274982646378;42435;42435;0;0;0;0
28;BrigadiersBlue;Brigadiers Blue;2533274916311937;195060;195060;0;0;0;0
28;BananaBox39;MaidenLOKO;2533274891998560;213783;213783;0;0;0;0
