#;User;Gamertag;XUID;Initial GS;Final GS;Gains;Points;Initial Global Points;New Global Points
1;Plagueborne;The Wicked Soul;2533274925208344;1537441;1538576;1135;50;448;498
2;ShadowlessEdge;ShadowlessAU;2535418358478334;1122051;1122886;835;48;376;424
3;FairyEmpire;baboy1337;2533274848211122;648354;649124;770;46;422;468
4;Chyld989;Chyld989;2533274824150207;595025;595630;605;44;278;322
5;Knottian;Knottian;2533274805216213;284171;284750;579;42;322;364
6;n0tjack;n0tjack;2533274808155558;279159;279609;450;40;340;380
7;CallMeCraig;matsze;2533274817036922;400733;401083;350;38;538;576
8;Sikamikanico;Sikamikanico;2599622463478870;171188;171493;305;36;288;324
9;NierlyCrazy;Nierly Crazy;2533274896685914;634673;634948;275;34;454;488
10;OneBadMutha;OneBadMutha;2728296738546254;80004;80269;265;32;61;93
11;Akosii;Akosii;2533274876129944;476541;476781;240;30;338;368
12;Bugalugs214;bugalugs214;2535471084374195;608210;608440;230;28;129;157
13;TangHao;Amir-8983;2535432952508207;97597;97782;185;26;9;35
14;MrZweistein;MrZweistein;2533274796780325;183010;183185;175;24;276;300
14;TheSlickTony;TheSlickTony;2533275010815429;143898;144073;175;24;87;111
16;low187;ShadowArceus5;2533274870566975;314601;314771;170;20;214;234
17;Scottish_Sin;Scottish Sin;2533274798575633;660139;660284;145;18;234;252
18;MMarfil;MMarfil;2533274884719422;116048;116168;120;16;38;54
19;MasterLeePhD;Master Lee PhD;2533274793230093;549098;549208;110;14;362;376
20;Mort;Mortaigne;2533274924850886;268928;269028;100;12;328;340
21;BeardoN7x;BeardoA7x;2533274924115209;159444;159524;80;10;44;54
22;dscharles;dscharles;2533275014769270;104905;104960;55;8;238;246
22;SilentJay76;SilentJay76;2533274902322618;517357;517412;55;8;312;320
24;TheAshCohen09;TheAshCohen09;2533274856167909;313576;313596;20;4;390;394
25;Mark3;Mark 3;2533274791777168;199075;199075;0;0;68;68
25;BadMoodJones;Junglee91;2533275020457265;173976;173976;0;0;107;107
25;SheepDip;Ryuukishi634;2533274841110750;543075;543075;0;0;278;278
25;TheSego;The Sego;2533274801846949;171980;171980;0;0;13;13
25;supercommodore;supercommodore;2533274982646378;42500;42500;0;0;13;13
25;binarymelon;binarymelon;2533274792088847;66621;66621;0;0;104;104
25;APOPHIS1989;APOPHIS1989;2533274792861176;676233;676233;0;0;184;184
25;RoslindaleOne;RoslindaleOne;2594261035379451;444350;444350;0;0;86;86
25;dfunktjester;dFunkt jestEr;2533274829581469;146787;146787;0;0;72;72
25;profjjj;profjjj;2533274829351135;174325;174325;0;0;57;57
25;DeusJabu;DeusJabu;2535431624153776;247605;247605;0;0;17;17
25;BigM_Milk4;BigMMilk-9208;2533274975549845;74194;74194;0;0;15;15
25;PhantomFox;PhantomFox75-460;2535436728258152;92909;92909;0;0;60;60
25;Shadowgasm;Shadowgasm;2736338880739054;443400;443400;0;0;0;0
25;BrigadiersBlue;Brigadiers Blue;2533274916311937;195060;195060;0;0;0;0
25;BananaBox39;MaidenLOKO;2533274891998560;213783;213783;0;0;0;0
